epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0576,1.38165,3.91768,1.17132,0.00231,0.29681,0.01854,0.00975,1.01578,3.6494,0.98649,5e-05,5e-05,5e-05
2,11.8789,1.36018,3.96899,1.14522,0.00226,0.29681,0.02653,0.01711,0.91444,3.60861,0.95236,0.000110272,0.000110272,0.000110272
3,13.6982,1.09592,3.59817,1.01523,0.01183,0.88625,0.19676,0.13736,0.89203,3.31207,0.89487,0.00016807,0.00016807,0.00016807
4,15.4111,1.15556,3.38874,0.97482,0.012,0.90437,0.25836,0.16975,0.8998,3.30576,0.8936,0.000223392,0.000223392,0.000223392
5,17.1079,1.11102,3.06387,0.95183,0.01246,0.86111,0.29613,0.21126,0.89501,3.23044,0.87451,0.00027624,0.00027624,0.00027624
6,18.9105,0.97397,2.86385,0.93719,0.01235,0.86111,0.30489,0.2059,0.91493,3.18283,0.87496,0.000326613,0.000326613,0.000326613
7,20.6215,1.06141,2.64606,0.97957,0.01217,0.86111,0.34609,0.22924,0.97449,3.10738,0.88365,0.00037451,0.00037451,0.00037451
8,22.2654,0.97276,2.25087,0.92348,0.0121,0.88889,0.35243,0.23575,0.97257,3.05143,0.87403,0.000419932,0.000419932,0.000419932
9,23.9922,1.09675,1.89363,0.99264,0.01166,0.78069,0.32908,0.22049,0.92834,3.13526,0.89979,0.00046288,0.00046288,0.00046288
10,25.6358,1.03542,1.78131,1.00313,0.01097,0.56958,0.27004,0.19002,0.90424,3.13968,0.91646,0.000503353,0.000503353,0.000503353
11,27.2559,1.04043,1.59286,1.00186,0.4816,0.22867,0.24192,0.16472,0.99242,3.07334,0.94788,0.00054135,0.00054135,0.00054135
12,28.971,1.03104,1.36782,1.01167,0.98729,0.07655,0.31226,0.21511,0.96215,2.87446,0.94736,0.000576873,0.000576873,0.000576873
13,30.5776,1.05109,1.50511,1.01336,0.98437,0.06146,0.37422,0.27067,0.90839,2.72773,0.92912,0.00060992,0.00060992,0.00060992
14,32.1315,0.97944,1.2928,0.98828,0.90039,0.1826,0.41102,0.29162,0.90016,2.50379,0.93208,0.000640492,0.000640492,0.000640492
15,33.7065,0.97614,1.30266,0.98658,0.67845,0.2745,0.41758,0.31331,0.98091,2.26503,0.92456,0.00066859,0.00066859,0.00066859
16,35.2276,0.99276,1.24821,1.0188,0.72364,0.29209,0.41204,0.30292,0.95732,2.09348,0.91859,0.000694212,0.000694212,0.000694212
17,36.8091,1.04369,1.42151,1.04548,0.81631,0.48809,0.62502,0.43635,0.98383,1.72686,0.89992,0.00071736,0.00071736,0.00071736
18,38.3618,0.95697,1.05524,0.98284,0.80502,0.54285,0.6638,0.45446,1.08298,1.72641,0.93066,0.000738032,0.000738032,0.000738032
19,39.8932,0.97409,1.16529,0.99968,0.78965,0.54634,0.61615,0.40703,1.00939,1.69942,0.91942,0.00075623,0.00075623,0.00075623
20,41.448,0.99405,1.05498,0.9947,0.80377,0.59409,0.73745,0.50902,0.9651,1.5594,0.90701,0.000771953,0.000771953,0.000771953
21,42.9968,0.96098,1.10367,1.00423,0.91952,0.61715,0.76831,0.52413,0.99112,1.47469,0.92384,0.000755,0.000755,0.000755
22,44.5391,0.88449,0.92282,0.92417,0.96585,0.63443,0.79024,0.54009,0.95642,1.33107,0.93035,0.00073025,0.00073025,0.00073025
23,46.071,1.03314,0.98151,1.01536,0.84484,0.83333,0.9028,0.62612,0.88571,1.17543,0.92667,0.0007055,0.0007055,0.0007055
24,47.6201,0.94461,0.99558,0.99205,0.71574,0.84576,0.87207,0.6038,0.89285,1.14395,0.92823,0.00068075,0.00068075,0.00068075
25,49.1826,0.92033,0.92771,0.99338,0.70684,0.80775,0.86119,0.60585,0.85869,1.13826,0.9263,0.000656,0.000656,0.000656
26,50.7063,0.93984,1.02075,0.98566,0.7715,0.76667,0.83187,0.57901,0.87701,1.12983,0.92908,0.00063125,0.00063125,0.00063125
27,52.2878,0.88827,0.91611,0.9505,0.72459,0.67813,0.77525,0.52114,0.90456,1.19164,0.91989,0.0006065,0.0006065,0.0006065
28,53.9539,0.81742,2.44016,0.97262,0.7286,0.72319,0.87942,0.60453,0.84986,1.09442,0.92958,0.00058175,0.00058175,0.00058175
29,55.5544,0.86934,0.87587,0.94849,0.78126,0.78616,0.83145,0.60068,0.83459,0.97611,0.94145,0.000557,0.000557,0.000557
30,57.1522,0.91972,0.87052,0.95767,0.79268,0.87319,0.84465,0.62102,0.83917,0.89363,0.95102,0.00053225,0.00053225,0.00053225
31,58.7016,0.94116,0.98523,0.98074,0.82448,0.81476,0.84718,0.60675,0.85405,0.85226,0.95099,0.0005075,0.0005075,0.0005075
32,60.32,0.95525,0.86892,0.96841,0.79942,0.83405,0.84234,0.58867,0.89812,0.85465,0.96726,0.00048275,0.00048275,0.00048275
33,61.9477,0.83538,0.82589,0.94311,0.78815,0.83266,0.84281,0.58054,0.90769,0.85145,0.9782,0.000458,0.000458,0.000458
34,63.5399,0.87984,0.83108,0.94146,0.72586,0.96812,0.85013,0.60228,0.89077,0.85729,0.96923,0.00043325,0.00043325,0.00043325
35,65.138,0.88039,0.8094,0.93842,0.79586,0.91592,0.87771,0.62423,0.88852,0.85597,0.96221,0.0004085,0.0004085,0.0004085
36,66.7077,0.86128,0.83059,0.92937,0.89845,0.82169,0.9274,0.65903,0.89398,0.79208,0.98888,0.00038375,0.00038375,0.00038375
37,68.2299,0.86261,0.82702,0.97156,0.86864,0.92345,0.95715,0.67752,0.90159,0.76403,0.99607,0.000359,0.000359,0.000359
38,69.7849,0.86959,0.84149,0.95126,0.82657,0.93356,0.9338,0.66717,0.87864,0.74364,0.98459,0.00033425,0.00033425,0.00033425
39,71.3154,0.70169,1.16559,0.91574,0.86862,0.908,0.94276,0.6808,0.8711,0.72052,0.97722,0.0003095,0.0003095,0.0003095
40,72.89,0.83527,0.77562,0.93119,0.8538,0.85851,0.95251,0.68023,0.88147,0.69338,0.96796,0.00028475,0.00028475,0.00028475
41,82.875,0.71672,1.07149,0.86816,0.95775,0.85381,0.96578,0.68775,0.89603,0.69567,0.9654,0.00026,0.00026,0.00026
42,84.8549,0.83059,0.98811,0.89266,0.96254,0.86778,0.96537,0.68524,0.90432,0.71001,0.96194,0.00023525,0.00023525,0.00023525
43,86.5138,0.81167,0.90053,0.90945,0.95694,0.88038,0.96586,0.69021,0.8954,0.7382,0.95709,0.0002105,0.0002105,0.0002105
44,88.2547,0.73203,1.04415,0.86335,0.93343,0.89566,0.95937,0.7101,0.87229,0.74962,0.94658,0.00018575,0.00018575,0.00018575
