epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.667,1.6052,4.87094,1.37794,0.29899,0.38226,0.2162,0.14296,1.2645,4.4133,1.25182,1.111e-05,1.111e-05,1.111e-05
2,25.5429,1.42505,4.32296,1.32668,0.75523,0.2,0.37745,0.31203,1.11514,3.86494,1.1833,3.26701e-05,3.26701e-05,3.26701e-05
3,36.4867,1.2115,3.1523,1.2486,0.74471,0.6,0.80097,0.65886,0.97204,2.90028,1.10146,5.33502e-05,5.33502e-05,5.33502e-05
4,47.584,0.94205,2.51332,1.07875,0.74661,0.8,0.82443,0.64865,0.89797,2.36737,1.04983,7.31505e-05,7.31505e-05,7.31505e-05
5,58.4699,0.99528,1.95356,1.07113,0.86297,0.8,0.995,0.7562,0.92109,2.2099,1.05604,9.20708e-05,9.20708e-05,9.20708e-05
6,70.1028,0.78687,1.43183,0.93711,0.59937,1,0.995,0.796,0.88246,2.31332,1.01866,0.000110111,0.000110111,0.000110111
7,81.33,0.80485,1.42778,0.98259,0.84904,0.6,0.995,0.7761,0.95229,2.60327,1.05587,0.000127272,0.000127272,0.000127272
8,92.7119,0.74995,1.29775,0.96251,0.92431,0.6,0.8955,0.6567,0.9703,2.2438,1.08777,0.000143552,0.000143552,0.000143552
9,104.529,0.72206,1.31362,0.9867,0.76774,0.8,0.8955,0.6766,1.01356,1.94308,1.14223,0.000158953,0.000158953,0.000158953
10,116.085,0.77565,1.14133,0.9466,0.87373,0.8,0.8955,0.6766,1.0216,1.8343,1.13273,0.000173474,0.000173474,0.000173474
11,127.686,0.67707,1.02678,0.92442,0.87919,0.8,0.8955,0.67702,1.05952,1.65573,1.12621,0.000187115,0.000187115,0.000187115
12,139.154,0.76998,0.9981,0.97494,0.93739,0.8,0.995,0.7562,1.08251,1.50213,1.10609,0.000199876,0.000199876,0.000199876
13,150.697,0.72131,1.12905,0.98365,0.74821,1,0.995,0.796,1.06527,1.33981,1.05815,0.000211757,0.000211757,0.000211757
14,163.097,0.70094,0.98884,0.94501,0.95696,0.8,0.995,0.7761,1.05193,1.28823,1.04797,0.000222758,0.000222758,0.000222758
15,175.231,0.6846,0.93809,0.93777,0.95487,0.8,0.995,0.8159,0.97612,1.31475,1.01611,0.000232879,0.000232879,0.000232879
16,187.484,0.70798,0.90751,0.91365,0.9352,0.8,0.995,0.7562,0.98771,1.1947,1.01492,0.00024212,0.00024212,0.00024212
17,199.559,0.65803,0.7977,0.96237,0.8983,1,0.995,0.796,1.00852,1.17342,1.05239,0.000250482,0.000250482,0.000250482
18,211.811,0.65565,0.91095,0.97824,0.9377,1,0.995,0.8159,1.02058,1.04623,1.091,0.000257963,0.000257963,0.000257963
19,224.087,0.73113,0.83092,0.92398,0.95532,1,0.995,0.8159,1.0175,0.99782,1.10442,0.000264565,0.000264565,0.000264565
20,236.237,0.71487,0.68696,0.94449,0.94118,1,0.995,0.796,1.01858,0.97923,1.11127,0.000270286,0.000270286,0.000270286
21,248.533,0.68109,0.73877,0.90149,0.89762,1,0.995,0.7562,1.03176,1.02912,1.1704,0.000275128,0.000275128,0.000275128
22,260.726,0.6923,0.77293,0.90062,0.94758,1,0.995,0.7761,1.02352,0.97177,1.18075,0.00027909,0.00027909,0.00027909
23,272.197,0.63167,0.67146,0.8977,0.95627,1,0.995,0.8358,1.0289,1.00036,1.17852,0.000282172,0.000282172,0.000282172
24,284.593,0.59529,0.67123,0.9154,0.95974,1,0.995,0.8358,1.02728,1.20924,1.21136,0.000284374,0.000284374,0.000284374
25,296.858,0.57879,0.60805,0.91489,0.96427,1,0.995,0.8159,0.96446,1.26542,1.14237,0.000285696,0.000285696,0.000285696
26,308.884,0.63345,0.63605,0.94984,0.96132,1,0.995,0.8159,0.91505,1.27168,1.03714,0.000286138,0.000286138,0.000286138
27,320.73,0.66112,0.61257,0.89651,0.95664,1,0.995,0.8557,0.86892,0.88721,0.99924,0.0002857,0.0002857,0.0002857
28,331.807,0.72821,0.59901,0.94865,0.95664,1,0.995,0.8557,0.86892,0.88721,0.99924,0.000284383,0.000284383,0.000284383
29,344.188,0.6899,0.62558,0.92822,0.94665,1,0.995,0.796,0.89806,0.72656,1.02223,0.000282185,0.000282185,0.000282185
30,356.69,0.67502,0.68371,0.95477,0.96036,1,0.995,0.8358,0.89759,0.70902,1.01741,0.000279108,0.000279108,0.000279108
31,368.689,0.66263,0.78228,0.90585,0.96036,1,0.995,0.8358,0.89759,0.70902,1.01741,0.00027515,0.00027515,0.00027515
32,380.902,0.65333,0.63252,0.94941,0.9635,1,0.995,0.796,0.87781,0.76079,1.00878,0.000270313,0.000270313,0.000270313
33,392.969,0.61644,0.59168,0.9452,0.96545,1,0.995,0.8159,0.86335,0.73328,1.02483,0.000264596,0.000264596,0.000264596
34,405.23,0.59538,0.52827,0.89087,0.96545,1,0.995,0.8159,0.86335,0.73328,1.02483,0.000257999,0.000257999,0.000257999
35,417.398,0.61263,0.54978,0.92801,0.94791,1,0.995,0.8358,0.89324,0.68669,1.02154,0.000250522,0.000250522,0.000250522
36,428.447,0.57664,0.50491,0.9186,0.88729,1,0.995,0.8557,0.92185,0.6373,1.00393,0.000242165,0.000242165,0.000242165
37,439.955,0.52488,0.52229,0.87726,0.88729,1,0.995,0.8557,0.92185,0.6373,1.00393,0.000232928,0.000232928,0.000232928
38,452.332,0.65718,0.5621,0.90901,0.90578,1,0.995,0.796,0.9507,0.62871,0.99433,0.000222811,0.000222811,0.000222811
