epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5379,1.20751,3.63829,1.24896,0.92534,0.92647,0.96149,0.67955,0.9972,1.72107,1.09712,0.0004,0.0004,0.0004
2,35.3722,1.16931,1.53371,1.25581,0.80559,0.63659,0.72784,0.47929,1.20093,1.64082,1.38637,0.000792391,0.000792391,0.000792391
3,48.6802,1.27437,1.21129,1.2967,0.64586,0.55387,0.63224,0.37525,1.40025,2.29909,1.60602,0.00116436,0.00116436,0.00116436
4,61.6853,1.18491,1.08539,1.2531,0.64235,0.74949,0.73399,0.48363,1.16332,1.85646,1.39657,0.00115719,0.00115719,0.00115719
5,74.9109,1.1882,0.97106,1.27273,0.63811,0.87763,0.87301,0.52345,1.35154,2.65388,1.49255,0.00112625,0.00112625,0.00112625
6,87.9835,1.1868,0.95061,1.26632,0.83621,0.82473,0.88686,0.63129,1.01419,1.46466,1.22259,0.00109531,0.00109531,0.00109531
7,101.922,1.10605,0.82639,1.21259,0.48072,0.26255,0.26096,0.17529,1.59092,67.3638,1.84974,0.00106437,0.00106437,0.00106437
8,114.8,1.125,0.84675,1.24766,0.93912,0.99052,0.99171,0.7034,0.98604,0.61623,1.18782,0.00103344,0.00103344,0.00103344
9,128.008,1.08581,0.78501,1.17085,0.92505,0.91609,0.97077,0.67712,1.06359,0.74731,1.27924,0.0010025,0.0010025,0.0010025
10,141.18,1.09125,0.78427,1.20335,0.8664,0.90936,0.96756,0.70335,0.96023,0.74851,1.14589,0.000971562,0.000971562,0.000971562
11,154.192,1.11799,0.78419,1.2346,0.8542,0.93214,0.98707,0.7226,1.00035,0.81622,1.18622,0.000940625,0.000940625,0.000940625
12,167.478,1.06964,0.75012,1.18241,0.76462,0.94055,0.96334,0.74316,0.90291,0.91163,1.13215,0.000909688,0.000909688,0.000909688
13,180.64,1.07126,0.71934,1.19315,0.97922,0.97748,0.98819,0.75106,0.93586,0.51662,1.10932,0.00087875,0.00087875,0.00087875
14,193.897,1.06183,0.69296,1.17089,0.99126,0.99722,0.995,0.73751,0.9382,0.50171,1.13183,0.000847813,0.000847813,0.000847813
15,206.762,0.99038,0.68868,1.131,0.9856,0.97151,0.99457,0.77449,0.9123,0.53048,1.11906,0.000816875,0.000816875,0.000816875
16,219.879,1.02494,0.71665,1.16377,0.9757,0.97673,0.9867,0.76358,0.89235,0.50206,1.09639,0.000785938,0.000785938,0.000785938
17,232.609,0.96558,0.63412,1.11645,0.92853,0.98983,0.995,0.79529,0.82245,0.53173,1.03557,0.000755,0.000755,0.000755
18,245.472,0.95709,0.62924,1.11446,0.99362,0.99672,0.995,0.78815,0.83882,0.4432,1.05533,0.000724062,0.000724062,0.000724062
19,258.445,0.94546,0.62354,1.11142,0.99191,0.97637,0.99184,0.77713,0.86784,0.46174,1.10198,0.000693125,0.000693125,0.000693125
20,271.535,0.94509,0.58726,1.09927,0.98564,0.9881,0.99455,0.77959,0.85177,0.45511,1.0835,0.000662188,0.000662188,0.000662188
21,284.421,0.90342,0.56622,1.09722,0.97898,0.99347,0.995,0.7617,0.88323,0.44593,1.09967,0.00063125,0.00063125,0.00063125
22,297.338,0.96369,0.57441,1.12992,0.97588,0.99487,0.99297,0.79835,0.81535,0.44572,1.03628,0.000600313,0.000600313,0.000600313
23,310.351,0.93157,0.58218,1.10733,0.98873,1,0.995,0.78764,0.82117,0.43,1.04404,0.000569375,0.000569375,0.000569375
24,323.707,0.90252,0.54445,1.11725,0.98997,1,0.995,0.79578,0.82881,0.38966,1.05835,0.000538438,0.000538438,0.000538438
25,337.206,0.87447,0.52915,1.07454,0.99486,1,0.995,0.81298,0.81168,0.39675,1.04403,0.0005075,0.0005075,0.0005075
26,350.651,0.88284,0.52248,1.08625,0.94666,0.99486,0.995,0.78141,0.84761,0.5019,1.04761,0.000476562,0.000476562,0.000476562
27,363.82,0.88624,0.51975,1.077,0.99495,1,0.995,0.80441,0.77351,0.38232,1.00694,0.000445625,0.000445625,0.000445625
28,377.174,0.87508,0.49392,1.08286,0.98656,1,0.995,0.80028,0.81,0.37721,1.04888,0.000414688,0.000414688,0.000414688
29,390.298,0.89793,0.50851,1.10572,0.99532,1,0.995,0.81088,0.8046,0.37142,1.03957,0.00038375,0.00038375,0.00038375
30,403.461,0.89107,0.49004,1.07705,0.99235,1,0.995,0.82303,0.77739,0.35908,1.01016,0.000352812,0.000352812,0.000352812
31,419.398,0.76527,0.40922,1.00971,0.99348,1,0.995,0.81639,0.76908,0.35833,0.997,0.000321875,0.000321875,0.000321875
32,432.584,0.75237,0.39426,1.0214,0.99119,1,0.995,0.8081,0.78928,0.37023,1.02428,0.000290937,0.000290937,0.000290937
33,445.155,0.76502,0.38624,1.01364,0.99488,1,0.995,0.79029,0.79717,0.36811,1.03303,0.00026,0.00026,0.00026
34,457.782,0.73167,0.36742,0.97969,0.99408,1,0.995,0.80295,0.7552,0.3554,1.00652,0.000229063,0.000229063,0.000229063
35,470.549,0.71763,0.3645,0.98368,0.99384,1,0.995,0.82713,0.72232,0.34062,0.99788,0.000198125,0.000198125,0.000198125
36,483.521,0.70751,0.37465,0.98667,0.99495,1,0.995,0.83396,0.73829,0.34042,1.00092,0.000167188,0.000167188,0.000167188
37,496.625,0.69837,0.35521,0.99601,0.99475,1,0.995,0.83373,0.74126,0.33525,1.00656,0.00013625,0.00013625,0.00013625
38,509.782,0.70239,0.348,0.98223,0.99487,1,0.995,0.83454,0.73605,0.33371,1.00727,0.000105312,0.000105312,0.000105312
39,522.767,0.66598,0.3372,0.96382,0.99514,1,0.995,0.8314,0.72826,0.32763,0.99769,7.4375e-05,7.4375e-05,7.4375e-05
40,536.037,0.67641,0.33434,0.96972,0.99554,1,0.995,0.83458,0.73699,0.32644,0.99707,4.34375e-05,4.34375e-05,4.34375e-05
